Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cotizar[C],1867,0,7,7.804351771296135,2.9865409997000825,44.318208001641324,112.0,31.62737824881028,0.0,7,8,9,9,11,12,13,16,43,44,44
,Aggregated,1867,0,7,7.804351771296135,2.9865409997000825,44.318208001641324,112.0,31.62737824881028,0.0,7,8,9,9,11,12,13,16,43,44,44
