escenario,veredicto_observado,n,p50_ms,p95_ms,p99_ms,max_ms,media_ms
A,enrutada,1886.0,13.789325499601546,29.97446999938802,61.03353020002944,98.2099319999179,16.36662465429435
B,suspendida,1851.0,15.976413999851502,39.25927350019265,84.6614884999326,142.59607599979063,19.550869746637908
C,suspendida,1894.0,15.358174500306632,31.602122749836774,66.12670550034628,105.49566600002436,17.78300778987028
D,enrutada,989.0,17.134751999947184,54.2871149997154,103.10546987984708,142.28876500055776,22.40378708088718
D,suspendida,849.0,19.165310000062163,51.61622500017983,115.31425467994268,187.23105200024293,23.813632283860617
E,enrutada,345.0,16.054811999310914,59.556797600453166,101.3193413596673,130.9395919997769,21.535972301461552
E,suspendida,1469.0,17.228097999577585,54.06280040024279,114.82278139977997,191.5934409998954,23.121089145667746
