Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/journey/compra[B],601,0,17,20.959877670542596,9.447309000279347,100.35044500000367,140.0,31.603245320214807,0.0,17,20,22,24,32,47,70,80,100,100,100
,Aggregated,601,0,17,20.959877670542596,9.447309000279347,100.35044500000367,140.0,31.603245320214807,0.0,17,20,22,24,32,47,70,80,100,100,100
