Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cotizar[F],1825,1825,8,8.255618679999415,2.852459001587704,47.97125000186497,102.0,30.84864908463766,30.84864908463766,8,9,10,10,11,13,15,17,45,48,48
,Aggregated,1825,1825,8,8.255618679999415,2.852459001587704,47.97125000186497,102.0,30.84864908463766,30.84864908463766,8,9,10,10,11,13,15,17,45,48,48
