Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cotizar[C],1836,0,7,7.680451261497981,3.171833002852509,45.49470799975097,112.0,31.05027457369602,0.0,7,8,9,9,10,11,13,15,41,45,45
,Aggregated,1836,0,7,7.680451261497981,3.171833002852509,45.49470799975097,112.0,31.05027457369602,0.0,7,8,9,9,10,11,13,15,41,45,45
