Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cotizar[E],854,0,480.0,369.3380954929302,2.588708000985207,784.063041999616,116.87704918032787,14.436618939819006,0.0,480,530,560,570,610,650,680,710,780,780,780
,Aggregated,854,0,480.0,369.3380954929302,2.588708000985207,784.063041999616,116.87704918032787,14.436618939819006,0.0,480,530,560,570,610,650,680,710,780,780,780
