Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/journey/compra[C],608,0,15,17.782894529598313,9.162735000245448,105.47899599987431,140.0,31.983811390823313,0.0,15,18,20,21,25,29,44,77,110,110,110
,Aggregated,608,0,15,17.782894529598313,9.162735000245448,105.47899599987431,140.0,31.983811390823313,0.0,15,18,20,21,25,29,44,77,110,110,110
