escenario,total_peticiones,exitosos,degradados,fallidos,disponibilidad_pct,tasa_errores_pct,cumple_meta_disponibilidad,peticiones_conmutadas,conmutaciones_bajo_1s,pct_conmutaciones_bajo_1s,conmutacion_p50_ms,conmutacion_p95_ms,conmutacion_max_ms,cache_hits,cache_misses,consultas_cache,cache_hit_rate_pct,latencia_n,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,latencia_max_ms,latencia_media_ms,cumple_meta_conmutacion
A,2337,2337,0,0,100.0,0.0,True,0.0,0.0,,,,,0.0,0.0,0.0,,2337.0,498.3238340009848,646.5015759993548,700.4316871203628,772.2095830013131,467.7011997026149,
B,5449,154,5295,0,100.0,0.0,True,5295.0,5295.0,100.0,0.5956670011073584,1.4881373997923224,6.404333000318729,5295.0,0.0,5295.0,100.0,5449.0,0.727000000551925,74.80135780097008,652.0052118397142,712.8145430015138,19.93607346815407,True
C,5789,146,5643,0,100.0,0.0,True,5643.0,5643.0,100.0,0.5625419998978032,1.1786833007136,5.328457998984959,5643.0,0.0,5643.0,100.0,5789.0,0.6897919993207324,1.6901166007301063,96.07324196018452,179.8487500000192,3.254230481085396,True
D,768,152,616,0,100.0,0.0,True,616.0,616.0,100.0,0.5899169991607778,1.6284692501358222,4.817125000045053,616.0,0.0,616.0,100.0,768.0,0.8059585006776615,105.90622489944506,158.97380511089088,196.02745799966215,19.485256681006053,True
E,2759,1982,777,0,100.0,0.0,True,777.0,777.0,100.0,0.5852079993928783,1.2447078006516674,2.3991250000108266,777.0,0.0,777.0,100.0,2759.0,453.6917920013366,638.771196500602,707.7090487197348,802.3202090007544,345.91060552192965,True
F,5789,149,0,5640,2.573846951114182,97.42615304888582,False,5640.0,5640.0,100.0,0.6079165004848619,1.1873770508827874,19.067208999331342,0.0,5640.0,5640.0,0.0,5789.0,0.7537499986938201,1.6473336007038581,96.24669807999452,195.88158300030045,3.2753326006243197,True
G,4642,4642,0,0,100.0,0.0,True,0.0,0.0,,,,,0.0,0.0,0.0,,4642.0,3779.3818350000947,4005.6904519987256,4116.818121720335,4291.286335001132,3565.2571044043457,
