Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cotizar[D],180,0,7,8.06723244451051,3.414791000977857,25.655959001596784,112.0,36.149984845227394,0.0,7,8,9,9,12,21,25,26,26,26,26
,Aggregated,180,0,7,8.06723244451051,3.414791000977857,25.655959001596784,112.0,36.149984845227394,0.0,7,8,9,9,12,21,25,26,26,26,26
