Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/journey/compra[E],587,0,16,18.371862257250694,9.27099700038525,103.92960799981665,116.76320272572401,30.89150317192755,0.0,16,18,21,22,27,30,43,84,100,100,100
,Aggregated,587,0,16,18.371862257250694,9.27099700038525,103.92960799981665,116.76320272572401,30.89150317192755,0.0,16,18,21,22,27,30,43,84,100,100,100
