Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cotizar[G],1453,0,3800.0,3677.1928750770635,107.78737500004354,4227.990041003068,119.0,12.175430215273787,0.0,3800,3800,3900,3900,3900,4000,4100,4100,4200,4200,4200
,Aggregated,1453,0,3800.0,3677.1928750770635,107.78737500004354,4227.990041003068,119.0,12.175430215273787,0.0,3800,3800,3900,3900,3900,4000,4100,4100,4200,4200,4200
