Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/journey/compra[D],571,0,23,29.901026420334752,8.53406799978984,187.19381999926554,73.54816112084063,30.00162468303592,0.0,23,28,33,37,55,81,120,140,190,190,190
,Aggregated,571,0,23,29.901026420334752,8.53406799978984,187.19381999926554,73.54816112084063,30.00162468303592,0.0,23,28,33,37,55,81,120,140,190,190,190
